0
-3	103	
-14	82	
-4	72	
-50	63	
4	81	
28	132	
23	104	
-5	103	
9	129	
-2	142	
208
1215	-11936	
1185	-11746	
1134	-11692	
1152	-11894	
1200	-12173	
1230	-12260	
1124	-12526	
1004	-12549	
974	-12411	
1017	-12697	
260
364	-22480	
417	-22343	
459	-22284	
476	-22243	
405	-22179	
427	-22241	
415	-22292	
425	-22212	
516	-22027	
527	-21918	
305
1388	-29992	
1443	-30012	
1476	-29889	
1495	-29677	
1427	-29614	
1364	-29642	
1468	-29620	
1486	-29465	
1482	-29628	
1505	-29645	
355
2450	-40688	
2414	-40174	
2505	-39840	
2563	-39548	
2471	-39627	
2391	-39854	
2390	-39947	
2395	-40133	
2346	-40228	
2295	-40134	
420
2068	-57708	
1832	-57839	
1704	-57626	
1788	-57456	
1789	-57421	
1881	-57653	
1965	-58055	
1811	-58150	
1706	-58290	
1839	-58532	
468
1840	-75043	
1690	-75433	
1671	-75502	
1892	-75261	
1961	-74730	
2155	-74111	
2198	-74366	
2279	-74632	
2439	-74487	
2442	-74393	
555
3419	-103539	
3352	-103134	
3260	-103431	
3225	-104039	
3100	-104428	
2928	-105421	
2922	-106674	
2788	-106903	
2814	-106506	
2920	-105833	
610
1906	-130013	
1702	-129785	
1511	-129758	
1755	-129767	
1967	-129696	
2186	-130052	
2415	-130685	
2628	-130676	
2731	-130678	
2922	-130563	
654
4534	-147183	
4390	-148303	
4391	-148846	
4321	-149176	
4014	-149434	
3724	-150049	
3684	-150579	
3458	-151098	
3346	-151337	
3536	-151111	
715
3207	-180432	
3335	-180157	
3517	-179898	
3346	-179473	
3370	-179154	
3566	-179674	
3689	-179678	
3576	-179584	
3503	-180127	
3468	-180951	
767
3450	-208992	
3558	-209723	
3709	-209649	
3587	-209488	
3145	-209511	
2985	-208966	
2925	-209028	
2839	-209267	
3358	-209338	
3416	-209094	
	
